,Company_Name,Weight
0,ENTERPRISE FINANCIAL SERVICES CORP,0.07078
1,EAST WEST BANCORP INC,0.08342
2,S&T BANCORP INC,0.05201
3,BANK OF NEW YORK MELLON CORP,0.09816
4,BANK OF HAWAII CORP,0.04935
5,HOWARD BANCORP INC,0.02931
6,UNITY BANCORP INC /NJ/,0.01179
7,CITIZENS & NORTHERN CORP,0.11305
8,INDEPENDENT BANK CORP /MI/,0.0954
9,"CB FINANCIAL SERVICES, INC.",0.02883
10,BANNER CORP,0.2
11,INVESTAR HOLDING CORP,0.16789
