,Company_Name,Weight
0,LILLY ELI & CO,0.03562
1,PFIZER INC,0.2
2,ZOETIS INC.,0.2
3,ARQULE INC,0.00068
4,JOHNSON & JOHNSON,0.18756
5,"PACIRA PHARMACEUTICALS, INC.",0.01883
6,BIOMARIN PHARMACEUTICAL INC,0.04572
7,FIVE PRIME THERAPEUTICS INC,0.01782
8,BIOSPECIFICS TECHNOLOGIES CORP,0.07394
9,PERRIGO CO PLC,0.01497
10,"MERCK & CO., INC.",0.13753
11,BRISTOL MYERS SQUIBB CO,0.03719
12,XENCOR INC,0.02108
13,"HERON THERAPEUTICS, INC. /DE/",0.00906
