Company_Name,Weight
"RELIANT BANCORP, INC.",0.12273
"CAROLINA TRUST BANCSHARES, INC.",0.11786
INVESTAR HOLDING CORP,0.1944
FIRST COMMUNITY CORP /SC/,0.05076
VILLAGE BANK & TRUST FINANCIAL CORP.,0.13994
BANK OF THE JAMES FINANCIAL GROUP INC,0.00178
CITIZENS & NORTHERN CORP,0.05375
BANK OF NEW YORK MELLON CORP,0.09533
"FAUQUIER BANKSHARES, INC.",0.02143
MACKINAC FINANCIAL CORP /MI/,0.02478
GUARANTY FEDERAL BANCSHARES INC,0.17724
