Company_Name,Weight
"Q2 HOLDINGS, INC.",0.0619
"ALARM.COM HOLDINGS, INC.",0.01069
"BLACK KNIGHT, INC.",0.2
"ZEDGE, INC.",0.00391
GSE SYSTEMS INC,0.04031
"ACI WORLDWIDE, INC.",0.04754
NATIONAL INSTRUMENTS CORP,0.09372
ORACLE CORP,0.16315
AWARE INC /MA/,0.02316
"NUANCE COMMUNICATIONS, INC.",0.05947
REALPAGE INC,0.02937
"INTELLICHECK, INC.",0.00938
ULTIMATE SOFTWARE GROUP INC,0.1035
ANSYS INC,0.1539
