Company_Name,Weight
INDEPENDENT BANK CORP /MI/,0.0954
EAST WEST BANCORP INC,0.08342
BANNER CORP,0.2
HOWARD BANCORP INC,0.02931
ENTERPRISE FINANCIAL SERVICES CORP,0.07078
BANK OF HAWAII CORP,0.04935
INVESTAR HOLDING CORP,0.16789
CITIZENS & NORTHERN CORP,0.11305
"CB FINANCIAL SERVICES, INC.",0.02883
UNITY BANCORP INC /NJ/,0.01179
S&T BANCORP INC,0.05201
BANK OF NEW YORK MELLON CORP,0.09816
