Company_Name,Weight
BRT APARTMENTS CORP.,0.01724
PUBLIC STORAGE,0.10938
GREAT AJAX CORP.,0.2
ALEXANDERS INC,0.02285
LADDER CAPITAL CORP,0.0442
CIM COMMERCIAL TRUST CORP,0.05461
ARES COMMERCIAL REAL ESTATE CORP,0.09107
"MANHATTAN BRIDGE CAPITAL, INC",0.01483
HMG COURTLAND PROPERTIES INC,0.12513
NEW YORK MORTGAGE TRUST INC,0.02084
EQUITY COMMONWEALTH,0.2
CROWN CASTLE INTERNATIONAL CORP,0.04875
IMPAC MORTGAGE HOLDINGS INC,0.05108
